title,address,region,renting,area,toward,room,traffic,launchtime,floor,elevator,introduction,imagelink
整租·光华园 1室1厅 南/北,徐汇-上海南站-光华园,徐汇,4100,52,南-北,1-1-1,,2019-08-25,低-6,0,"【户型介绍】 朝南大一房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！",https://image1.ljcdn.com/lease-image/house/c92fd2da-cf12-48af-81c3-8549c06ec9f5.jpg.780x439.jpg
整租·长桥一村 1室0厅 南,徐汇-长桥-长桥一村,徐汇,3600,29,南,1-0-1,,2019-08-23,中-5,0,"【户型介绍】 朝南大一房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！",https://image1.ljcdn.com/lease-image/house/2f2a5beb-2b2f-4f69-91a5-2f7e081774cd.png.780x439.jpg
整租·华建一街坊 2室1厅 南,徐汇-华泾-华建一街坊,徐汇,3720,56,南,2-1-1,,2019-07-22,高-6,0,"【户型介绍】 本房源是南北通透的大两房，实测两个房间打开窗户通风很好，而且采光充足，拎包即住，无需在自己打理，已保洁完成。
【装修描述】 本房源经过我自己的努力装修之后，已经焕然一新，东西配置都是一手，全新没有任何问题，欢迎各位有意向的随时品鉴哦！
【周边配套】 旁边公交车线路繁多，未来十五号线即将建成，交通更加方便，有需要的姐姐哥哥欢迎来实地品鉴！",https://image1.ljcdn.com/lease-image/house/69fb3d2e-7255-4cb3-9f8e-ddb2f8951073.jpg.780x439.jpg
整租·汇成二村 1室0厅 南,徐汇-上海南站-汇成二村,徐汇,3200,33,南,1-0-1,,2019-08-06,高-6,0,"【户型介绍】 进门是厨房，卫生间朝北，房间朝南带阳台。通风比较好，现在已经空了随时可以入住
【装修描述】 房子是一般中等装修，比较适合两个人或者一个人住，房间朝南带阳台
【交通出行】 门口多路公交：720.957.731.824等，距离上海南站公交2站路",https://image1.ljcdn.com/lease-image/house/1ae743c2-30ed-4588-aa58-89518cb5a173.jpg.780x439.jpg
整租·长桥三村 2室1厅 南,徐汇-长桥-长桥三村,徐汇,4300,58,南,2-1-1,,2019-07-24,中-6,0,"【户型介绍】 双南大两房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡，有意者可以随时联系看房哦
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【出租原因】 房东经常出差没有时间打理房屋，所以委托我们出租奔放，看房比较方便，欢迎联系看房哦
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！",https://image1.ljcdn.com/lease-image/house/af3cc5bb-87db-4095-a5a1-6fa5955799eb.jpg.780x439.jpg
整租·长桥一村 1室0厅 东南,徐汇-长桥-长桥一村,徐汇,3900,42,东南,1-0-1,,2019-08-02,高-6,0,"【户型介绍】 朝南大一房，通风采光好，户型方正，布局紧凑，房屋功能分区明确，全明无遮挡
【交通出行】 本房距离地铁1号线上海南站站4公里左右，小区500米内有820、824、111、闵行20路公交车
【周边配套】 小区之外近距离范围内有联华超市、农工商超市、沃尔玛超市，购物方便！ 浦发、邮政、建设、工商银行，为您生活提供便利！凌云一街坊，为您提供休闲场所！大华医院，为您提供医疗保障！",https://image1.ljcdn.com/lease-image/house/ba1c3c19-68aa-497e-92e0-f41deae53708.png.780x439.jpg
整租·上中路458弄 1室1厅 南,徐汇-植物园-上中路458弄,徐汇,3500,38,南,1-1-1,,2019-08-18,高-6,0,"【户型介绍】 房间朝南，厨房和卫生间朝北，中间还有一个客厅可以放床，现在有一个沙发
【装修描述】 房子中等简单装修，房子现在有点乱，保洁已经安排好深度保洁，图片会重新上传
【交通出行】 小区门口多路公交;180.718.820.824.831.973.南南线等",https://image1.ljcdn.com/lease-image/house/ed6af5e6-2b57-4450-a8a8-18ba4ba5346b.jpg.780x439.jpg
整租·田林十二村 1室1厅 南,徐汇-田林-田林十二村,徐汇,3900,30,南,1-1-1,漕宝路-625;,2019-08-12,中-6,0,,https://image1.ljcdn.com/lease-image/house/6c8757bf-b792-4ce4-aa5f-5431c4095040.jpg.780x439.jpg
整租·田林十四村 1室1厅 南,徐汇-田林-田林十四村,徐汇,4500,37,南,1-1-1,桂林路-397;宜山路-839;,2019-07-04,高-6,0,,https://image1.ljcdn.com/lease-image/house/5a379aeb-ed36-4a9c-ac6f-3d5a3bc8f592.jpg.780x439.jpg
整租·日晖二村 1室1厅 南,徐汇-斜土路-日晖二村,徐汇,4350,38,南,1-1-1,大木桥路-19;嘉善路-960;东安路-968;鲁班路-1057;,2019-08-07,低-5,1,,https://image1.ljcdn.com/lease-image/house/d9ce873c-b356-46a2-9903-75a9324634fd.jpg.780x439.jpg
整租·宛平南路268弄 1室0厅 南,徐汇-徐家汇-宛平南路268弄,徐汇,4000,23,南,1-0-1,上海体育场-995;东安路-1092;徐家汇-1098;肇嘉浜路-1115;,2019-08-19,中-7,0,,https://image1.ljcdn.com/lease-image/house/2e5a10b3-d224-4d9a-bbe9-574a886ee8b5.jpg.780x439.jpg
整租·橡胶小区 1室1厅 南,徐汇-徐家汇-橡胶小区,徐汇,5000,37,南,1-1-1,肇嘉浜路-508;徐家汇-633;衡山路-975;,2019-08-24,中-6,0,,https://image1.ljcdn.com/lease-image/house/ae30e170-2c26-4ccb-b98d-1f019dd19ab7.jpg.780x439.jpg
整租·楼园小区 2室1厅 南,徐汇-上海南站-楼园小区,徐汇,5100,61,南,2-1-1,,2019-08-26,中-6,0,,https://image1.ljcdn.com/lease-image/house/52621dbd-0582-420d-afe1-6e7251a081d5.jpg.780x439.jpg
整租·海防新村 1室1厅 南,浦东-洋泾-海防新村,浦东,3600,30,南,1-1-1,,2019-08-22,高-6,0,"【户型介绍】 老式装修，家具家电全有，朝南带阳台主卧，全天日照，采光没有任何问题，晾衣服很方便。
【装修描述】 老式装修，家具家电全有，朝南带阳台主卧，全天日照，采光没有任何问题，晾衣服很方便。
【出租原因】 业主闲置房源，长时间不用，老式装修，家具家电全有，朝南带阳台主卧，全天日照，采光没有任何问题，晾衣服很方便。
【小区介绍】 老式装修，家具家电全有，朝南带阳台主卧，全天日照，采光没有任何问题，晾衣服很方便。",https://image1.ljcdn.com/lease-image/house/c01f57bf-5f9f-4885-8a3d-307d3649074e.jpg.780x439.jpg
整租·南丹小区 1室1厅 东南/南,徐汇-徐家汇-南丹小区,徐汇,4850,37,东南-南,1-1-1,徐家汇-486;宜山路-575;虹桥路-1055;,2019-06-18,低-7,0,,https://image1.ljcdn.com/lease-image/house/88874ddd-94da-456a-94f4-c424ba951cc3.jpg.780x439.jpg
